ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2022-09-07T00:00:00.000000000Z,35,2,10971,275.000000000,283.990000000,272.250000000,283.450000000,10230280,TSLA
2022-09-07T00:00:00.000000000Z,35,2,10046,103.000000000,105.180000000,102.165000000,104.100000000,2992892,SMH
2022-09-07T00:00:00.000000000Z,35,2,7067,38.466000000,39.300000000,38.442000000,39.202000000,222875,MGK
2022-09-07T00:00:00.000000000Z,35,2,7598,21.873000000,22.933000000,21.829000000,22.875000000,19713600,NFLX
2022-09-07T00:00:00.000000000Z,35,2,5910,202.300000000,211.360000000,201.950000000,210.750000000,794606,ISRG
2022-09-07T00:00:00.000000000Z,35,2,526,78.650000000,80.250000000,77.750000000,79.980000000,10665010,AMD
2022-09-07T00:00:00.000000000Z,35,2,9677,15.272500000,15.605000000,15.250000000,15.350000000,587392,SCHG
2022-09-07T00:00:00.000000000Z,35,2,6079,44.990000000,46.200000000,44.930000000,46.200000000,39618,JEPQ
2022-09-07T00:00:00.000000000Z,35,2,6760,42.874000000,43.693000000,42.201000000,43.298000000,4979700,LRCX
2022-09-07T00:00:00.000000000Z,35,2,29,154.800000000,156.660000000,153.610000000,155.960000000,19744312,AAPL
2022-09-07T00:00:00.000000000Z,35,2,10106,326.840000000,333.540000000,324.800000000,332.560000000,431512,SNPS
2022-09-07T00:00:00.000000000Z,35,2,10160,120.710000000,121.253333333,117.720000000,120.396666667,835662,SOXX
2022-09-07T00:00:00.000000000Z,35,2,9674,23.926666667,24.313333333,23.836666667,24.300000000,444264,SCHD
2022-09-07T00:00:00.000000000Z,35,2,585,126.330000000,129.750000000,125.410000000,129.320000000,12928258,AMZN
2022-09-07T00:00:00.000000000Z,35,2,10892,13.100000000,13.947500000,12.890000000,13.795000000,39368088,TQQQ
2022-09-07T00:00:00.000000000Z,35,2,9039,293.470000000,299.990000000,292.030000000,298.880000000,8882400,QQQ
2022-09-07T00:00:00.000000000Z,35,2,7019,857.920000000,893.650000000,848.390000000,888.280000000,158591,MELI
2022-09-07T00:00:00.000000000Z,35,2,1534,20.440000000,20.440000000,19.520000000,20.120000000,73602,BOTZ
2022-09-07T00:00:00.000000000Z,35,2,2405,518.980000000,531.660000000,516.220000000,530.110000000,828421,COST
2022-09-07T00:00:00.000000000Z,35,2,11638,39.985000000,40.166666667,39.048333333,40.166666667,264204,VUG
2022-09-07T00:00:00.000000000Z,35,2,9043,120.640000000,123.380000000,120.300000000,122.920000000,166948,QQQM
2022-09-07T00:00:00.000000000Z,35,2,9089,16.800000000,17.110000000,16.550000000,17.070000000,585437,QYLD
2022-09-07T00:00:00.000000000Z,35,2,512,91.030000000,92.770000000,89.800000000,91.930000000,2351119,AMAT
2022-09-07T00:00:00.000000000Z,35,2,2109,40.770000000,41.580000000,40.620000000,40.740000000,70521,CIBR
2022-09-07T00:00:00.000000000Z,35,2,9012,22.330000000,23.245000000,22.055000000,23.075000000,1469480,QLD
2022-09-07T00:00:00.000000000Z,35,2,7034,158.250000000,160.950000000,156.810000000,160.190000000,4348395,META
2022-09-07T00:00:00.000000000Z,35,2,826,468.940000000,480.830000000,465.300000000,477.940000000,272800,ASML
2022-09-07T00:00:00.000000000Z,35,2,4340,100.990000000,102.450000000,100.280000000,102.080000000,14140,FTEC
2022-09-07T00:00:00.000000000Z,35,2,5623,54.662000000,55.958000000,54.458000000,55.472000000,818560,IGV
2022-09-07T00:00:00.000000000Z,35,2,5446,119.600000000,123.240000000,119.310000000,122.890000000,589254,IBB
2022-09-07T00:00:00.000000000Z,35,2,8984,127.400000000,129.780000000,126.060000000,128.600000000,2131633,QCOM
2022-09-07T00:00:00.000000000Z,35,2,975,49.899000000,50.943000000,49.600000000,50.600000000,8683320,AVGO
2022-09-07T00:00:00.000000000Z,35,2,2516,170.230000000,173.070000000,166.780000000,172.000000000,1046904,CRWD
2022-09-07T00:00:00.000000000Z,35,2,10623,48.910000000,49.610000000,48.910000000,49.490000000,4345,TDIV
2022-09-08T00:00:00.000000000Z,35,2,10630,49.150000000,49.740000000,48.870000000,49.680000000,9356,TDIV
2022-09-08T00:00:00.000000000Z,35,2,511,92.000000000,94.160000000,90.260000000,94.110000000,2174359,AMAT
2022-09-08T00:00:00.000000000Z,35,2,11646,39.630000000,40.423333333,39.630000000,40.316666667,414150,VUG
2022-09-08T00:00:00.000000000Z,35,2,7883,13.733000000,14.057000000,13.369000000,14.057000000,93795310,NVDA
2022-09-08T00:00:00.000000000Z,35,2,7075,38.960000000,39.540000000,38.812000000,39.404000000,259165,MGK
2022-09-08T00:00:00.000000000Z,35,2,10978,282.510000000,290.000000000,279.770000000,289.800000000,9680354,TSLA
2022-09-08T00:00:00.000000000Z,35,2,10053,104.555000000,106.215000000,102.650000000,105.875000000,3205006,SMH
2022-09-08T00:00:00.000000000Z,35,2,5632,55.352000000,56.646000000,55.202000000,56.646000000,988620,IGV
2022-09-08T00:00:00.000000000Z,35,2,2408,528.000000000,533.110000000,521.500000000,529.750000000,631670,COST
2022-09-08T00:00:00.000000000Z,35,2,4347,101.100000000,102.970000000,101.060000000,102.600000000,17214,FTEC
